date,day,Home,Away,place,crowds
2025-06-10,화,LG,SSG,잠실,17221
2025-06-10,화,KIA,삼성,광주,15887
2025-06-11,수,KT,롯데,수원,11777
2025-06-11,수,키움,NC,고척,4034
2025-06-11,수,한화,두산,대전,17000
2025-06-11,수,LG,SSG,잠실,18192
2025-06-11,수,KIA,삼성,광주,17320
2025-06-12,목,KT,롯데,수원,12378
2025-06-12,목,키움,NC,고척,4410
2025-06-12,목,한화,두산,대전,17000
2025-06-12,목,LG,SSG,잠실,18321
2025-06-12,목,KIA,삼성,광주,16761
2025-06-13,금,NC,KIA,창원,8362
2025-06-14,토,NC,KIA,창원,15000
2025-06-14,토,삼성,KT,대구,24000
2025-06-14,토,한화,LG,대전,17000
2025-06-14,토,SSG,롯데,문학,23000
2025-06-14,토,두산,키움,잠실,18390
2025-06-15,일,NC,KIA,창원,12470
2025-06-15,일,삼성,KT,대구,24000
2025-06-15,일,한화,LG,대전,17000
2025-06-15,일,SSG,롯데,문학,20960
2025-06-15,일,두산,키움,잠실,11744
2025-06-17,화,롯데,한화,사직,22669
2025-06-17,화,KIA,KT,광주,10596
2025-06-17,화,LG,NC,잠실,15069
2025-06-17,화,삼성,두산,대구,23044
2025-06-17,화,키움,SSG,고척,6205
2025-06-18,수,롯데,한화,사직,22669
2025-06-18,수,KIA,KT,광주,16311
2025-06-18,수,LG,NC,잠실,16103
2025-06-18,수,삼성,두산,대구,23385
2025-06-18,수,키움,SSG,고척,6941
2025-06-19,목,롯데,한화,사직,22669
2025-06-19,목,KIA,KT,광주,14079
2025-06-19,목,LG,NC,잠실,15636
2025-06-19,목,삼성,두산,대구,23355
2025-06-19,목,키움,SSG,고척,7032
2025-06-20,금,롯데,삼성,사직,21911
2025-06-21,토,SSG,KIA,문학,23000
2025-06-21,토,KT,NC,수원,13680
2025-06-21,토,LG,두산,잠실,23750
2025-06-22,일,SSG,KIA,문학,23000
2025-06-22,일,KT,NC,수원,12059
2025-06-22,일,LG,두산,잠실,23750
2025-06-22,일,롯데,삼성,사직,22669
2025-06-22,일,한화,키움,대전,17000
2025-06-24,화,키움,KIA,고척,16000
2025-06-24,화,KT,LG,수원,9335
2025-06-24,화,두산,SSG,잠실,12141
2025-06-25,수,삼성,한화,대구,24000
2025-06-25,수,키움,KIA,고척,16000
2025-06-25,수,NC,롯데,창원,15587
2025-06-26,목,삼성,한화,대구,24000
2025-06-26,목,키움,KIA,고척,16000
2025-06-26,목,KT,LG,수원,13365
2025-06-26,목,NC,롯데,창원,16335
2025-06-26,목,두산,SSG,잠실,13553
2025-06-27,금,SSG,한화,문학,23000
2025-06-27,금,LG,KIA,잠실,23750
2025-06-27,금,롯데,KT,사직,22669
2025-06-27,금,NC,두산,창원,8025
2025-06-27,금,키움,삼성,고척,16000
2025-06-28,토,SSG,한화,문학,23183
2025-06-28,토,LG,KIA,잠실,23750
2025-06-28,토,롯데,KT,사직,22669
2025-06-28,토,NC,두산,창원,12961
2025-06-28,토,키움,삼성,고척,16000
2025-06-29,일,SSG,한화,문학,23000
2025-06-29,일,LG,KIA,잠실,23750
2025-06-29,일,롯데,KT,사직,22669
2025-06-29,일,NC,두산,창원,9894
2025-06-29,일,키움,삼성,고척,16000
2025-07-01,화,롯데,LG,사직,19627
2025-07-01,화,한화,NC,대전,17000
2025-07-01,화,KIA,SSG,광주,11782
2025-07-01,화,두산,삼성,잠실,18022
2025-07-01,화,KT,키움,수원,5616
2025-07-02,수,롯데,LG,사직,20661
2025-07-02,수,한화,NC,대전,17000
2025-07-02,수,KIA,SSG,광주,11827
2025-07-02,수,두산,삼성,잠실,20448
2025-07-02,수,KT,키움,수원,6787
2025-07-03,목,롯데,LG,사직,21914
2025-07-03,목,한화,NC,대전,17000
2025-07-03,목,KIA,SSG,광주,13013
2025-07-03,목,두산,삼성,잠실,21525
2025-07-03,목,KT,키움,수원,8540
2025-07-04,금,키움,한화,고척,16000
2025-07-04,금,두산,KT,잠실,16101
2025-07-04,금,삼성,LG,대구,24000
2025-07-04,금,KIA,롯데,광주,20500
2025-07-04,금,NC,SSG,창원,11147
2025-07-05,토,키움,한화,고척,16000
2025-07-05,토,두산,KT,잠실,19774
2025-07-05,토,삼성,LG,대구,24000
2025-07-05,토,KIA,롯데,광주,20500
2025-07-05,토,NC,SSG,창원,12028
2025-07-06,일,키움,한화,고척,16000
2025-07-06,일,두산,KT,잠실,23750
2025-07-06,일,삼성,LG,대구,24000
2025-07-06,일,KIA,롯데,광주,20500
2025-07-06,일,NC,SSG,창원,7726
2025-07-08,화,한화,KIA,대전,17000
2025-07-08,화,SSG,KT,문학,10812
2025-07-08,화,롯데,두산,사직,18541
2025-07-08,화,NC,삼성,창원,8294
2025-07-08,화,LG,키움,잠실,16098
2025-07-09,수,한화,KIA,대전,17000
2025-07-09,수,SSG,KT,문학,10259
2025-07-09,수,롯데,두산,사직,19071
2025-07-09,수,NC,삼성,창원,9220
2025-07-09,수,LG,키움,잠실,16400
2025-07-10,목,한화,KIA,대전,17000
2025-07-10,목,SSG,KT,문학,10817
2025-07-10,목,롯데,두산,사직,21199
2025-07-10,목,NC,삼성,창원,10106
2025-07-10,목,LG,키움,잠실,16628
2025-07-18,금,KT,한화,수원,18700
2025-07-18,금,LG,롯데,잠실,23750
2025-07-19,토,KT,한화,수원,18700
2025-07-19,토,LG,롯데,잠실,23750
2025-07-19,토,SSG,두산,문학,19877
2025-07-20,일,KT,한화,수원,18700
2025-07-20,일,LG,롯데,잠실,23750
2025-07-20,일,KIA,NC,광주,16985
2025-07-20,일,SSG,두산,문학,18102
2025-07-20,일,삼성,키움,대구,24000
2025-07-22,화,두산,한화,잠실,23750
2025-07-22,화,NC,KT,창원,6302
2025-07-22,화,KIA,LG,광주,12468
2025-07-22,화,키움,롯데,고척,15362
2025-07-22,화,삼성,SSG,대구,22896
2025-07-23,수,두산,한화,잠실,23750
2025-07-23,수,NC,KT,창원,6375
2025-07-23,수,KIA,LG,광주,12172
2025-07-23,수,키움,롯데,고척,15325
2025-07-23,수,삼성,SSG,대구,23304
2025-07-24,목,두산,한화,잠실,23750
2025-07-24,목,NC,KT,창원,5157
2025-07-24,목,KIA,LG,광주,12364
2025-07-24,목,키움,롯데,고척,15216
2025-07-24,목,삼성,SSG,대구,24000
2025-07-25,금,롯데,KIA,사직,22669
2025-07-25,금,두산,LG,잠실,20007
2025-07-25,금,한화,SSG,대전,17000
2025-07-25,금,KT,삼성,수원,18700
2025-07-25,금,NC,키움,창원,6171
2025-07-26,토,롯데,KIA,사직,22669
2025-07-26,토,두산,LG,잠실,23750
2025-07-26,토,한화,SSG,대전,17000
2025-07-26,토,KT,삼성,수원,18700
2025-07-26,토,NC,키움,창원,10690
2025-07-27,일,롯데,KIA,사직,22669
2025-07-27,일,두산,LG,잠실,20780
2025-07-27,일,한화,SSG,대전,17000
2025-07-27,일,KT,삼성,수원,18700
2025-07-27,일,NC,키움,창원,8115
2025-07-29,화,LG,KT,잠실,17294
2025-07-29,화,롯데,NC,사직,22669
2025-07-29,화,KIA,두산,광주,14329
2025-07-29,화,한화,삼성,대전,17000
2025-07-29,화,SSG,키움,문학,10177
2025-07-30,수,LG,KT,잠실,17782
2025-07-30,수,롯데,NC,사직,22669
2025-07-30,수,KIA,두산,광주,15391
2025-07-30,수,한화,삼성,대전,17000
2025-07-30,수,SSG,키움,문학,10514
2025-07-31,목,LG,KT,잠실,17630
2025-07-31,목,롯데,NC,사직,22669
2025-07-31,목,KIA,두산,광주,15584
2025-07-31,목,한화,삼성,대전,17000
2025-07-31,목,SSG,키움,문학,10917
2025-08-01,금,KIA,한화,광주,20500
2025-08-01,금,NC,KT,창원,7590
2025-08-01,금,삼성,LG,대구,24000
2025-08-01,금,키움,롯데,고척,16000
2025-08-01,금,두산,SSG,잠실,15073
2025-08-02,토,NC,KT,창원,9940
2025-08-02,토,삼성,LG,대구,24000
2025-08-02,토,키움,롯데,고척,16000
2025-08-02,토,두산,SSG,잠실,17278
2025-08-03,일,NC,KT,창원,7561
2025-08-03,일,삼성,LG,대구,24000
2025-08-03,일,키움,롯데,고척,16000
2025-08-03,일,두산,SSG,잠실,14422
2025-08-05,화,롯데,KIA,사직,22669
2025-08-05,화,한화,KT,대전,16783
2025-08-05,화,LG,두산,잠실,20239
2025-08-05,화,SSG,삼성,문학,13850
2025-08-05,화,NC,키움,창원,6661
2025-08-06,수,롯데,KIA,사직,20944
2025-08-06,수,한화,KT,대전,13919
2025-08-06,수,LG,두산,잠실,20427
2025-08-06,수,SSG,삼성,문학,12003
2025-08-06,수,NC,키움,창원,5776
2025-08-07,목,롯데,KIA,사직,22104
2025-08-07,목,한화,KT,대전,17000
2025-08-07,목,LG,두산,잠실,21392
2025-08-07,목,SSG,삼성,문학,15174
2025-08-07,목,NC,키움,창원,5893
2025-08-08,금,LG,한화,잠실,23750
2025-08-08,금,NC,KIA,창원,12141
2025-08-08,금,키움,두산,고척,12841
2025-08-08,금,롯데,SSG,사직,20091
2025-08-08,금,KT,삼성,수원,18700
2025-08-09,토,LG,한화,잠실,23750
2025-08-09,토,키움,두산,고척,16000
2025-08-09,토,KT,삼성,수원,18700
2025-08-10,일,LG,한화,잠실,23750
2025-08-10,일,NC,KIA,창원,10773
2025-08-10,일,키움,두산,고척,15111
2025-08-10,일,롯데,SSG,사직,22062
2025-08-10,일,KT,삼성,수원,18700
2025-08-12,화,삼성,KIA,대구,22522
2025-08-12,화,KT,LG,수원,14407
2025-08-12,화,한화,롯데,대전,17000
2025-08-12,화,두산,NC,잠실,11590
2025-08-12,화,SSG,키움,문학,10091
2025-08-13,수,삼성,KIA,대구,24000
2025-08-13,수,한화,롯데,대전,17000
2025-08-14,목,삼성,KIA,대구,24000
2025-08-14,목,한화,롯데,대전,17000
2025-08-14,목,두산,NC,잠실,10938
2025-08-14,목,SSG,키움,문학,9461
2025-08-15,금,NC,한화,창원,17983
2025-08-15,금,두산,KIA,잠실,23750
2025-08-15,금,키움,KT,고척,11585
2025-08-15,금,SSG,LG,문학,23000
2025-08-15,금,롯데,삼성,사직,22669
2025-08-16,토,NC,한화,창원,17983
2025-08-16,토,두산,KIA,잠실,23750
2025-08-16,토,키움,KT,고척,10163
2025-08-16,토,SSG,LG,문학,23000
2025-08-16,토,롯데,삼성,사직,22669
2025-08-17,일,NC,한화,창원,12179
2025-08-17,일,두산,KIA,잠실,23750
2025-08-17,일,키움,KT,고척,8838
2025-08-17,일,SSG,LG,문학,23000
2025-08-17,일,롯데,삼성,사직,22669
2025-08-19,화,LG,롯데,잠실,23750
2025-08-19,화,한화,두산,대전,16580
2025-08-19,화,KT,SSG,수원,8853
2025-08-19,화,NC,삼성,창원,8343
2025-08-19,화,KIA,키움,광주,11023
2025-08-20,수,LG,롯데,잠실,23750
2025-08-20,수,한화,두산,대전,16054
2025-08-20,수,KT,SSG,수원,9062
2025-08-20,수,NC,삼성,창원,9430
2025-08-20,수,KIA,키움,광주,10503
2025-08-21,목,LG,롯데,잠실,23750
2025-08-21,목,한화,두산,대전,16369
2025-08-21,목,KT,SSG,수원,9912
2025-08-21,목,NC,삼성,창원,9832
2025-08-21,목,KIA,키움,광주,10061
2025-08-22,금,두산,KT,잠실,16397
2025-08-22,금,KIA,LG,광주,14633
2025-08-22,금,NC,롯데,창원,17983
2025-08-22,금,한화,SSG,대전,16446
2025-08-22,금,삼성,키움,대구,24000
2025-08-23,토,두산,KT,잠실,21834
2025-08-23,토,KIA,LG,광주,20500
2025-08-23,토,NC,롯데,창원,17983
2025-08-23,토,한화,SSG,대전,17000
2025-08-23,토,삼성,키움,대구,24000
2025-08-24,일,두산,KT,잠실,17905
2025-08-24,일,KIA,LG,광주,15128
2025-08-24,일,NC,롯데,창원,17983
2025-08-24,일,한화,SSG,대전,17000
2025-08-24,일,삼성,키움,대구,24000
2025-08-26,화,키움,한화,고척,16000
2025-08-26,화,SSG,KIA,문학,17488
2025-08-26,화,롯데,KT,사직,16116
2025-08-26,화,NC,LG,창원,6496
2025-08-26,화,두산,삼성,잠실,20491
2025-08-27,수,키움,한화,고척,16000
2025-08-27,수,SSG,KIA,문학,17688
2025-08-27,수,롯데,KT,사직,16826
2025-08-27,수,NC,LG,창원,8337
2025-08-27,수,두산,삼성,잠실,21198
2025-08-28,목,키움,한화,고척,16000
2025-08-28,목,SSG,KIA,문학,17833
2025-08-28,목,롯데,KT,사직,17273
2025-08-28,목,NC,LG,창원,9528
2025-08-28,목,두산,삼성,잠실,23126
2025-08-29,금,KT,KIA,수원,18700
2025-08-29,금,SSG,NC,문학,11509
2025-08-29,금,롯데,두산,사직,19473
2025-08-29,금,한화,삼성,대전,17000
2025-08-29,금,LG,키움,잠실,22231
2025-08-30,토,KT,KIA,수원,18700
2025-08-30,토,SSG,NC,문학,20449
2025-08-30,토,롯데,두산,사직,22669
2025-08-30,토,한화,삼성,대전,17000
2025-08-30,토,LG,키움,잠실,23750
2025-08-31,일,KT,KIA,수원,18700
2025-08-31,일,SSG,NC,문학,13129
2025-08-31,일,롯데,두산,사직,20350
2025-08-31,일,한화,삼성,대전,17000
2025-08-31,일,LG,키움,잠실,22503
2025-09-02,화,한화,KIA,대전,16730
2025-09-02,화,LG,롯데,잠실,23750
2025-09-02,화,KT,NC,수원,6710
2025-09-02,화,SSG,키움,문학,11112
2025-09-03,수,KT,롯데,수원,14910
2025-09-03,수,한화,NC,대전,17000
2025-09-03,수,KIA,SSG,광주,14468
2025-09-03,수,삼성,키움,대구,22446
2025-09-04,목,KT,LG,수원,12424
2025-09-04,목,NC,두산,창원,5335
2025-09-05,금,SSG,롯데,문학,21529
2025-09-05,금,NC,두산,창원,6590
